ID,sex,age,Born in the US? ,num children,Degree,Years of school,Redistribution good,God,Happy,science spending,afterlife
117,male,33,No,1,Graduate degree,19,disagree,"Don't know, no way to find out",pretty happy,spending too little,No
118,female,33,Yes,1,Bachelors,16,disagree,Belief in a higher power,pretty happy,spending about the right amount,Yes
119,female,34,Yes,2,High School,15,agree,Belief in a higher power,pretty happy,spending about the right amount,Yes
120,female,78,Yes,1,Bachelors,16,disagree,Believe in god sometimes,pretty happy,spending about the right amount,Yes
121,female,53,Yes,1,Associates,15,agree,Belief in a higher power,pretty happy,spending about the right amount,No
122,female,61,Yes,2,High School,15,unsure,Believe without a doubt,pretty happy,spending too much,Yes
123,male,37,Yes,0,High School,13,agree,"Don't know, no way to find out",not too happy,spending too little,No
124,female,48,Yes,5,High School,12,disagree,Believe without a doubt,not too happy,spending too little,No
125,female,32,Yes,0,Graduate degree,19,agree,Belief in a higher power,pretty happy,spending about the right amount,Yes
126,male,33,Yes,1,Graduate degree,18,agree,Believe without a doubt,not too happy,spending about the right amount,Yes
127,male,69,Yes,3,Graduate degree,18,unsure,Believe without a doubt,Very happy,spending about the right amount,Yes
128,female,57,Yes,2,High School,15,agree,Believe without a doubt,not too happy,spending about the right amount,No
129,male,69,No,2,High School,14,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
130,male,65,No,2,High School,13,agree,"Believe, but with some doubts",Very happy,spending too much,No
131,female,34,Yes,4,High School,13,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
132,male,69,Yes,0,Bachelors,17,agree,Atheist,not too happy,spending about the right amount,No
133,female,44,Yes,3,Bachelors,16,disagree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
134,male,57,Yes,2,Bachelors,16,agree,Atheist,not too happy,spending too little,No
135,male,66,Yes,0,High School,12,agree,Atheist,pretty happy,spending too little,No
136,male,32,Yes,2,High School,18,agree,"Don't know, no way to find out",Very happy,spending about the right amount,No
137,male,72,Yes,3,Bachelors,16,disagree,Believe without a doubt,Very happy,spending about the right amount,Yes
138,female,64,Yes,1,Graduate degree,18,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
139,male,42,Yes,0,Associates,16,agree,Atheist,pretty happy,spending too little,No
140,male,66,Yes,1,Bachelors,16,disagree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
141,female,44,No,2,Graduate degree,20,agree,Atheist,pretty happy,spending too little,No
142,female,70,Yes,0,Graduate degree,19,agree,"Don't know, no way to find out",not too happy,spending too little,No
143,male,66,Yes,4,High School,12,unsure,Believe without a doubt,pretty happy,spending too little,Yes
144,female,74,Yes,1,Graduate degree,17,disagree,Atheist,not too happy,spending too little,No
145,male,80,Yes,1,Graduate degree,19,unsure,Believe without a doubt,pretty happy,spending too little,Yes
146,male,42,Yes,2,Graduate degree,19,agree,"Believe, but with some doubts",pretty happy,spending too little,Yes
147,male,37,Yes,0,High School,13,agree,Belief in a higher power,not too happy,spending too little,No
148,female,67,Yes,3,Bachelors,17,agree,Belief in a higher power,not too happy,spending too little,No
149,female,73,Yes,8,High School,14,disagree,Believe without a doubt,not too happy,spending about the right amount,Yes
150,female,22,Yes,0,High School,16,agree,Believe without a doubt,not too happy,spending about the right amount,Yes
151,male,47,Yes,4,High School,14,disagree,Believe in god sometimes,Very happy,spending about the right amount,Yes
152,female,59,Yes,2,Graduate degree,18,unsure,Believe without a doubt,pretty happy,spending about the right amount,Yes
153,female,65,Yes,0,Associates,14,unsure,"Believe, but with some doubts",not too happy,spending too little,Yes
154,female,67,Yes,2,Bachelors,17,agree,Belief in a higher power,pretty happy,spending too little,No
155,male,45,No,3,High School,12,agree,"Believe, but with some doubts",not too happy,spending about the right amount,No
156,male,41,Yes,2,Bachelors,16,disagree,Believe without a doubt,Very happy,spending about the right amount,Yes
157,male,89,Yes,1,High School,12,unsure,Belief in a higher power,not too happy,spending too little,No
158,male,60,Yes,0,High School,14,disagree,Believe without a doubt,Very happy,spending about the right amount,Yes
159,male,79,Yes,3,Graduate degree,19,agree,Believe without a doubt,Very happy,spending about the right amount,Yes
160,male,53,Yes,0,Associates,15,agree,"Don't know, no way to find out",pretty happy,spending too little,No
161,female,64,Yes,2,Associates,14,agree,Believe without a doubt,Very happy,spending about the right amount,Yes
162,female,43,Yes,4,High School,13,agree,Believe without a doubt,not too happy,spending too little,Yes
163,female,26,Yes,3,High School,12,agree,Believe without a doubt,pretty happy,spending too much,Yes
164,female,31,No,1,Graduate degree,16,unsure,Believe without a doubt,not too happy,spending about the right amount,Yes
165,female,31,Yes,0,Associates,14,disagree,Belief in a higher power,pretty happy,spending too little,Yes
166,female,27,Yes,0,Bachelors,16,agree,"Believe, but with some doubts",pretty happy,spending too little,Yes
167,female,30,Yes,0,Associates,15,unsure,Believe in god sometimes,pretty happy,spending about the right amount,Yes
168,male,36,No,2,Bachelors,17,unsure,Believe without a doubt,pretty happy,spending about the right amount,Yes
169,female,26,Yes,0,Bachelors,18,disagree,Believe without a doubt,Very happy,spending too little,Yes
170,female,45,Yes,4,Bachelors,16,disagree,"Believe, but with some doubts",pretty happy,spending too little,Yes
171,male,25,Yes,0,Associates,17,agree,"Believe, but with some doubts",not too happy,spending too little,Yes
